"prod","title","format","stars","comment"
"UE-Wireless-Bluetooth-Waterproof-Shockproof","Amazing 360 sound quality and upgrades from the original","Style: Phantom Edition",4,"I have a wireless UE Boom speaker so I grabbed the opportunity for a wireless UE Boom 2 speaker.  I've posted a photo to show the differences.  The UE Boom 2 is the one on the right.  While the speakers are the same size, the cases are different.  The amazing 360 sound quality is the same but the wireless range is DOUBLE from the original.  I didn't break out a measuring tape but the claims of 100 ft is about right.  They kept the large + and - volume buttons (just tap to use) which is super convenient and they added the function of tapping the top of the speaker (use two fingers or it won't work) once to pause/play and twice to skip a song.  This feature is very cool but did not work consistently.  They also changed up the recharging and jack features.  They are on the bottom of the Boom speaker and on top under rubber flaps on Boom 2.  I prefer the open ports (more convenient) over the covered but I'm assuming it keeps it cleaner and helps prevent loss of function.  They have also improved the playing time.  I get around 9-12 hours on the original and 10-13 on the Boom 2; granted, a slight improvement but I'll take it.  I cannot find a way to double up a Boom and Boom 2 speaker but I have a call into Logitech to see if this can be configured.  Overall, I LOVE the sound quality, convenience, and mobility these speakers provide and at the same cost as the Boom, I would recommend these for double the wireless range.  I might even spring for the Mega Boom speaker."
"UE-Wireless-Bluetooth-Waterproof-Shockproof","Great sound for any adventure!","Style: Phantom Edition",5,"Logitechs's UE Boom 2 Bluetooth wireless speaker comes packed in a nice container. Which would be great for storing, however, we purchased this for a backpacking trip, so sadly the clamshell packaging won't be used anymore. The attention to detail they took with the packaging gives you a hint about how well engineered this device is. On removing the Boom 2 from the clamshell, you immediately notice it's heft. At 1.2 lbs, it feels solid. The fit and finish are excellent, which is what you should expect from a $200 bluetooth speaker.Both the adapter and the Micro-USB cord come in a bright yellow color, which is very handy when trying to figure out which cord belongs to which electronic device, believe me, I know. The ""Challenger"", comes with a short 1 meter (3.2 feet) versus the UE Boom 2's 4 ft or 1.2 M cable, it makes a huge difference. The Boom 2 also comes with a 2 amp wall ""travel"" adapter, this is handy as it will charge the Boom 2 in about 3 hours, and you can also use it for your iPhone 6 or iPad. The Boombottle does not. You must supply your own (probably repurposed) 1 amp charger. The challenger has a 2,300 mAH battery (2.3 amp hour), while the Boom 2 has a larger battery than it's predecessor (the original boom had 3.7v with 2100 mah) however they most likely upgraded to a larger 18650 cell with 4000 mah to keep the party going for longer. The Boom 2 charges very quickly, in around the 3 hour mark, compared to some other models, that use a 1 amp charger and take 8-10 hours to charge. Li-ion batteries have a finite number of cycles before they die, and you CAN replace them on this unit. Instructions are included on how to do so, but as this hasn't hasn't died yet, I wont be yanking my new toy appart anytime soon.The speaker controls for pause/skip are gesture controls that are only activated once you pick it up, and are controlled with touches on the top. The 3.5mm jack plug and the Micro-USB charging interface are on the bottom, as well as a d-ring for attaching a lanyard. You can remove the d-ring to allow a standard camera mount to screw in. From some of the advertisising, ostenstibly this is to allow you to put it on a stick to help keep it out of water. The headphone jack and charge port are hidden behind covers which fit tightly and make them waterproof, even with the covers uncovered, it is still waterproof. The gesture controls say to pick this up and tap once, with two fingers to play\pause, or two times to skip tracks. However, this has varied in my tests. Perhaps a later update or some muscle memory will yield better results. On a note, when you are charging the Boom 2, you flip it upside down (?) to access the mini-usb port, so the gesture controls cannot be used. To connect to the speaker, just power it on and look through your  bluetooth devices. Once you chose the UE Boom it will ask you if you want the app. You can choose to download the app or not, but you can be up and running in a matter of seconds in either case.The app allows you to add another UE Boom, Boom 2 or UE Megaboom (untested). You can also access a DSP ( digitial signal proecessor) that will give you some preset EQ settings or customize your own setting, giving you control over the output, and tailor it to your liking. Larger units, such as the Megaboom will have a better bass response, and most articles will point out the lack of low end response. Frequency response is billed as 90Hz-20kHz, which means that you will get the more audible bass, but are out of luck for any really deep or bass intense tracks. This unit has slightly larger, (1 3/4"" ) drivers as well as 2 (1 3/4' x 3"" ) passive radiators. The original UE Boom 2013 UE Boom had  two 1.5in drivers and twin 2in passive radiators. While I don't have an original to compare it to, having heard my friends UE Boom before, I have a  feeling that the 90Hz isn't limited by the size of the drivers, but by the DSP to prevent the drivers from bottoming out or distorting. On a note about the DSP, until you hit at least 3\4 volume, the DSP doesnt appear to attenuate the bass (90Hz and up) on all but the deepest tracks. The DSP does a great job of rolling off harmful low frequencies, allowing maximum voume with minimal distortion. You can also power it off or set an alarm, for those that are deep sleepers, and can't be woken up by their puny cell phone speaker. The app also allows you to have total control over the volume, without needing to manually set it on your phone first, then the device. The app will overide your phones volume as you push the buttons on the speaker itself. I found myself leaving my phone in the other room more and more, where before with other products, you had to fiddle with settings or have your phone close by for tweaking the volume. The Boom 2 is IPX7 rated vs the UE Boom (IPX4) which is ""Splash rated"". As I can confirm from having the challenger splashed, the IPX4 rating really means a light splash. The IPX7 rating means it should come out fine after being submerged at 3 feet for 30 minutes (plenty of time to pick up the bottle). Tossing this around at a pool party would probably mean disaster if it sunk in the deep end, but would be fine if dropped in a bathtub. However, I don't want to submerge my new $200 speaker underwater just yet. :).Both the challeneger and the original Boom had a maximum bluetooth distance of about 33 feet if you were lucky and had a clear line of sight (optimal conditions). The Boom 2 claims 100 feet in optimal conditions, and from my testing, it has no problem at all with me leaving my phone in the other room or vice versa. Even through walls it didn't disconnect, whereas the challenger would have trouble maintaining a connection if you walked to the kitchen.They claim this is 25% louder than the original UE Boom, and from the specs, and DSP magic, I am sure it is. I don't have the original boom for reference, but I can tell you, this thing gets plenty loud. It has no problem filling a large room or area with music. At full volume, you basically need to yell at each other to be heard over this thing. As mentioned before, the bass rolls off around 75% volume, and with the magic of the DSP, it still sounds clear even maxed out. Audiophiles, or those without my damaged old ears, might notice some distorotion at full volume, but most will not.Since I am not one to purposefully drop a $200 speaker, I will just go with thier shockproof claims. However, with how rugged this unit is, I dont think an accidental drop from a normal height will do much damage. I cant say the same about some of it's comeptitors though.To conclude, I was a bit leery at the $200 price point, and just happened across this while looking at the original boom. I am glad I purchased this. It absolutely destroys my old bluetooth speaker in every way. My wife, also leery of a $200 bluetooth speaker, loves it. She carries it in the bathroom while getting ready, or just hanging around the house.EDIT: 11/07/2015I was being absent minded, and accidentaly set the business end (the one wiht the 3.5 mm jack and charge port) inot about 3"" of water in my cooler. Don't asl :). I quickly noticed the sound and pulled it out. The sound was more direct, and richer, as my head was directly above the cooler. However, I quickly pulled the UE out and all was rigth with the world. A quick shake off of the UE Boom 2, and no harm no foul. It never skipped a beat.Bluetooth speaker - I would NOT recommned using it as a bluetoooth speaker. No microphone inputs, and the output is way below average. However, I have not been happier with a bluetooth speaker, and my wife loves it so much, she wants to get one for everyone on the list. At $200, thats not going to happen, but I would recommend this to anyone."
"UE-Wireless-Bluetooth-Waterproof-Shockproof","Best travel speaker there is. Loud, crisp, easy to use and weather proof.","Style: Phantom Edition",5,"Logitechs's UE Boom 2 Bluetooth wireless speaker comes packaged in a nice cylindrical container.  Open the box, which splits down the middle, and on the right you will find the actual Boom speaker and the left contains instructions, a Micro-USB cord and a USB-Mains adapter.Both the adapter and the Micro-USB cord come in a pleasing luminous yellow color which makes it very easy to distinguish when placed in a carry bag alongside a bunch of other cords.  The actual cord length is around 3 feet which should be plenty long for most people.The Boom speaker itself is an art in simplicity.  On the top you have a power button and a Bluetooth connecter button.  On the bottom you have a 3.5mm jack plug and the Micro-USB charging interface.  Both of these are hidden behind covers which fit tightly and make them waterproof.  One face of the almost cylindrical speaker houses two large volume buttons and that is all there is to it really.  The speaker itself is actually quite small, roughly the size of a can of beer so is easily carried around, put in a bag or luggage to take on vacation with you etc.  If you have an Amazon Echo, then the Boom 2 is both smaller and thinner than the Echo as a comparison.Connection to your is simply a matter of pressing the Bluetooth connecter button on the top of the speaker and looking through the list of available Bluetooth devices on your phone, tablet or whatever and selecting the Boom.  Simple as it comes. No codes to type in (it's just a speaker so doesn't really need a security code), no complex do A then B then C etc. steps to take.  You are up and running in a matter of seconds.So what differentiates the Boom 2 from the original?  The Boom 2 is IPX7 rated.  What does that actually mean?  Basically that it's weather sealed.  It has been tested by being submerged in 1 meter of water (3.3ft) for a duration of 30 minutes and still works.  The X in that code means that it hasn't specifically been tested for solid particles but seeing as how it is waterproof it should be protected against sand, dust etc. as well.Another difference between the Boom 2 and the original is that the Boom 2 has a couple of gesture controls built into it.  Pick up the speaker and tap on the top to pause/play music.  Tap twice to skip to the next song.  Note, you do actually have to pick up the speaker to do this.The accepted wireless Bluetooth wireless range has also increased and is now up to 100ft. I tested this by placing both the Boom and the Boom 2 in my garden and basically walking away from them with my phone.  You get to a point where the music being played on the original starts stuttering a bit as its losing connection with the phone but the Boom 2 still plays strongly.  I didn't actually measure how far I had walked but you can go quite a distance whilst still maintaining a solid connection to the Boom 2.Lastly the Boom 2 is slightly louder and has a slightly crisper sound than the original Boom.As mentioned above, sound quality on the Boom 2 is excellent for a portable speaker. Nice deep bass and rich treble tones without sounding tinny or the bass distorting.  The speaker is also loud if turned all the way up.  Until you have the speaker almost at full volume (which chances are you won't as it really is loud) the sound quality hangs in there without getting distorted.There is also an app you can download for IOS and Android that allows you to control the Boom 2 from your phone or tablet.  Note, if you are looking for it on the Apple store whilst using an iPad, it is actually listed as an iPhone product so you may need to switch if you have your default to iPad only apps.The app allows you to turn the Boom 2 on or off, adjust the volume, set an alarm and more importantly gives you a 5 level equalizer to adjust the sound output to your own liking.  It also allows you to double up on your Booms if you own more than one to give you true stereo output.  I tried the app on both my Galaxy S6 Edge Plus and my iPad 2 air and it works as advertised with no problems.The Boom 2 is a great little speaker to take with you when you go on trips.  This past weekend I took it with me to the beach and lay there listening to tunes knowing that I didn't need to take that much care with the speaker to protect it from sand or water.  It worked beautifully.  I'll be taking it again this weekend when I go back down.Battery life is rated at 15 hours although I haven't fully tested that as I don't play music for 15 straight hours but it certainly lasted basically a whole day at the beach with no problems.  Just plug it into the charger overnight and it's ready again to go the next day.  Charging actually doesn't take that long (there is a very small LED light next to the Micro-USB connector on the base which will let you know when the unit is fully charged.  You also get a battery level on the app so you easily monitor how much charge is left in your Boom 2.If you are looking for an excellent portable speaker you can't go wrong with the Boom 2.  Even if you don't travel that often, this is an excellent speaker for the house.  Loud, crisp, easy to use and weather proof."
"UE-Wireless-Bluetooth-Waterproof-Shockproof","Very pleased with the full-spectrum sound produced by this great portable speaker","Style: Phantom Edition",5,"The UE Boom 2 is the wireless speaker I've always wanted. Logitech, who is well-known for its quality computer accessories, has applied its engineering skills to create a category-leading Bluetooth speaker. I believe that everyone looking for wireless sound on-the-go should put the UE Boom 2 at the top of their list.I found several things that distinguish the UE Boom 2 from most other wireless speakers I've tried. First, the wrap-around speaker design works really well. It distributes sound all around, filling the room in a way that other speakers cannot. Second, the UE Boom 2 is touch-sensitive.  I can pause and skip songs by tapping once or twice. Third, a free app allows me to customize the EQ settings just the way I want, when streaming music from my iPhone.And yes - as has been suggested elsewhere, the sound output is impressive!  The UE Boom 2 has no problem at all producing rich, deep bass sound (which can often be problematic for small, portable speakers). In fact, I am satisfied with the bass response without pushing the EQ anywhere close to the limit!  The UE Boom 2 handles the treble and mid range sounds just as impressively. All in all, I am very pleased with the full-spectrum sound produced by this great portable speaker.It should also be mentioned that the UE Boom 2 includes a protective case to store the UE Boom 2 and accessories, including instructions, a power plug and USB cable.I highly recommend the UE Boom 2 to everyone."
"UE-Wireless-Bluetooth-Waterproof-Shockproof","Good speakers but there are better.","Style: Phantom Edition",4,"I bought two of these about a month ago so I could have the Stero effect outside by my pool area.  If I would have rated this 2 weeks ago I would have given them 5 stars.  Last weekend for the first time since buying these I used them outside as planned.  The volume was set at about 75% and the batters only lasted about 6 hours.  I have a lot of pool parties in the summer and they last way more than 6 hours.  So...I started looking around for a 2nd set that would give me the several mores hours that I needed.I didn't feel like I wanted to pay the price of this speaker again so I started looking for comparable and I came across the JBL Flip 3 speakers.  At a cost of only $99.00 each I thought I'd give them a try.Wow, what a difference.  Now compared to the JBL Flip 3 my UE Boom 2 speakers sound muddled.  The music is sharp and clear with lots of base on my Flip 3's.Now don't get me wrong...the UE Boom 2's are great speakers, but I'm glad I found the Flip 3'sStill a solid 4 star rating for the UE Boom 2...just wish the batteries lasted longer when pushed to near their limit."
"UE-Wireless-Bluetooth-Waterproof-Shockproof","Huge mistake but ended up working out","Style: Tropical Edition",5,"So I was a little drunk the other day and got on my wife's amazon account while a little angry and accidentally on purpose 1 click bought what I thought was a 80s themed knock off flesh light. I was wrong. I was excited when opening the package since it really resembles a fleshlight style toy. I almost gave this speaker 1 star because of the wasted 15 minutes I tried using it. Luckily for me this thing is waterproof. But when I read the manual and realized it was a waterproof speaker i decided to try it out. It's got great sound and trust me, it's durable.  You can tell from my picture how I could get it confused."
"UE-Wireless-Bluetooth-Waterproof-Shockproof","What a great product, Made better when you buy two!","Style: Green Machine Edition",5,"The Boom 2 is a Great speaker. I bought the Fugoo to test them side by side and the boom wins hands down. It's louder, and the Bluetooth range is about 3 times the Fugoo. We now have two Booms 2 and together they are AWESOME!!! The sound is really great and I have high standards for speakers. I also want to mention the pair does NOT get interrupted  when a person in in between them. I tested at around 25 feet apart.I was worried the ""15"" hour battery life would only be at lower volumes. We have tested them and at two knotched below max for the full day the speaker lasted a little longer around 16ish hours."
"UE-Wireless-Bluetooth-Waterproof-Shockproof","Incredible sound, long-lasting battery, true 360 degrees, long Bluteooth range","Style: BrainFreeze Edition",5,"Incredible sound, long-lasting battery, true 360 degrees, long Bluetooth range. This is the speaker! I purchased a Bose Soundlink Color last year and was extremely disappointed. When there were more than a handful of people around, the Bose just didn't get loud enough, whether we were in a small room or outside at a picnic/bonfire/etc. I'm a casual listener--I just like music--I can't tell you all the specs about bass, sound, etc. I just know what sounds good, and what is loud enough for my liking. I misplaced my Bose, thought it gone forever, so I started researching and the UE Boom 2 sounded like what I was looking for, so I bit the bullet, and boy am I glad I did. I have hung the speaker from the clothesline in the yard and can listen to music while doing yardwork with loud power tools. It is loud enough for get-togethers, both inside and outside. I can hang it from a hook in one room, and the sound reaches all parts of the house. I love listening to the news in the morning while showering, and since it's waterproof, I don't worry about having it in the steamy bathroom with me. If my phone is inside and I take the speaker outside, it maintains a strong, clear Bluetooth connection (I have an old house and sometimes these connections can break when other speakers are just one room away from the source. Not with the UE Boom 2). I am so happy with this purchase and recommend it to anyone just looking for a good, loud, speaker. Only criticism is the shape. The loop (for a carabiner or lanyard), charging port, and 3.5mm aux port are on the bottom. And the power button is on the top. I always keep a carabiner connected, and when listening to music from my PC, I have to use a 3.5mm aux cable. So that means I have to set the speaker on its top, so the power button is inaccessible as well as the tap sensor (which doesn't work well anyway--you can tap once to pause, twice to skip to the next song. I turned if off in the app cause it does't work). You can't keep the speaker on its side because it will roll, particularly if you have kids, animals, people around. It has to sit up or down (like in the stock image). It's a cool shape though cause you can stick it in a bottle holder on a bike for bike rides. I guess I just wish the buttons and ports were all on the same side so that the ""bottom"" were a proper bottom that you didn't have to access."
"UE-Wireless-Bluetooth-Waterproof-Shockproof","Beautiful sound and appearance!","Style: Phantom Edition",5,"Looks great, sounds great, excited to bring this on adventures this Summer! I would highly recommend this speaker. The only thing I dislike is the tap to pause function is a little finicky. I previously owned a Mini Jambox by Jawbone and the sound quality on this is a HUGE step up from that of the Jambox."
"UE-Wireless-Bluetooth-Waterproof-Shockproof","FANTASTIC!","Style: Phantom Edition",5,"I had a wireless UE Boom speaker before, but I decided to get the wireless UE Boom 2 speaker as well.They do look similar, they almost the same size, but the UE improved the speaker a lot.Here are some differences between UE Boom 2 and the original UE Boom:- fully waterproof (iPX7 -- immersion up to 1 m for 30 minutes)- drop-resistant to five feet- sounds 25% louder- enhanced sound- wireless range up to 100 feet- external charge is waterproof (not water resistant)- a few grams heavier than the older version- gesture control- you can update the speaker's firmware over the air via app- you can turn the speaker on and off via the app - super convenient!I totally love UE Boom 2!Its amazing 360 sound is the best I’ve heard from a speaker this size. It also very loud ( I personally wouldn’t need UE Boom Mega).It sounds perfectly natural at moderate levels.The battery lasts for 15 hours at moderate volume, which is pretty long.I absolutely fell in love with the accelerometer.I can skip or pause songs by tapping the speaker while holding it.Once the Boom 2 senses you’re holding it, you can pause or ‘unpause’ songs by smacking the top. If you smack twice, you’ll skip to the next song.I was seriously impressed by the wireless range of the speaker. During one of our hiking trip, my friends and I were playing music from my phone.Forgetting about it, I put iPhone into my pocket and walked away to bring more wood.My friends wouldn’t even notice that the phone was far away from the speaker if they weren’t trying to find it to change the playlist!Also, I did tested its water resistance in the bathtub. I didn’t keep it under the water for more than a few seconds, but it was definitely waterproof.All ports are sealed with rubber gaskets and little flap-doors, so the whole speaker is basically sealed against water or dirt.The speaker is very easy to set up with any of your bluetooth divide.Also, it shuts off automatically when not in use.I totally recommend it!I’m using it every day. It is great shower speaker.The speaker is small and portable. Great  as travel speaker. I always take it when camping, road tripping or even hiking.The speaker is rugged, coated in rubber, waterproof and extremely durable.I love its sound quality, mobility and convenience.Worth every penny!"
